Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.61,0.9099999999999999,0.387886743167145
75% Corpus,9,0.61,symmetric,0.3978504726166576
75% Corpus,9,0.9099999999999999,0.01,0.41061214427446535
75% Corpus,9,0.9099999999999999,0.31,0.3907450957053307
75% Corpus,9,0.9099999999999999,0.61,0.36261110132341823
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.39004693760606535
75% Corpus,9,0.9099999999999999,symmetric,0.35657783454083786
75% Corpus,9,symmetric,0.01,0.41978135058248633
75% Corpus,9,symmetric,0.31,0.42152477770073804
75% Corpus,9,symmetric,0.61,0.3948957582450615
75% Corpus,9,symmetric,0.9099999999999999,0.406141179297835
75% Corpus,9,symmetric,symmetric,0.4689555921571468
75% Corpus,9,asymmetric,0.01,0.40172938048508944
75% Corpus,9,asymmetric,0.31,0.4231385170094505
75% Corpus,9,asymmetric,0.61,0.41701643988555964
75% Corpus,9,asymmetric,0.9099999999999999,0.4225946271363973
75% Corpus,9,asymmetric,symmetric,0.4598861304069687
75% Corpus,10,0.01,0.01,0.4161391812118855
75% Corpus,10,0.01,0.31,0.3799384981283932
75% Corpus,10,0.01,0.61,0.35192118281164986
75% Corpus,10,0.01,0.9099999999999999,0.38573177587428764
75% Corpus,10,0.01,symmetric,0.4047835149383127
75% Corpus,10,0.31,0.01,0.47555973691294334
75% Corpus,10,0.31,0.31,0.42873895429378894
75% Corpus,10,0.31,0.61,0.4132352043566705
75% Corpus,10,0.31,0.9099999999999999,0.4098568620001865
75% Corpus,10,0.31,symmetric,0.45809495319789423
75% Corpus,10,0.61,0.01,0.4378517879720348
75% Corpus,10,0.61,0.31,0.41331579467132995
75% Corpus,10,0.61,0.61,0.3766897812184847
75% Corpus,10,0.61,0.9099999999999999,0.3806331235529593
75% Corpus,10,0.61,symmetric,0.4024968532287233
75% Corpus,10,0.9099999999999999,0.01,0.4346606232222544
75% Corpus,10,0.9099999999999999,0.31,0.37961990600095186
75% Corpus,10,0.9099999999999999,0.61,0.3978074280044515
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.38579385178424913
75% Corpus,10,0.9099999999999999,symmetric,0.4000224502992141
75% Corpus,10,symmetric,0.01,0.4194553177605715
75% Corpus,10,symmetric,0.31,0.4112250939456713
75% Corpus,10,symmetric,0.61,0.41334918131220383
75% Corpus,10,symmetric,0.9099999999999999,0.3758057382283276
75% Corpus,10,symmetric,symmetric,0.42183602543958365
75% Corpus,10,asymmetric,0.01,0.4069571928782011
75% Corpus,10,asymmetric,0.31,0.42734070182985623
75% Corpus,10,asymmetric,0.61,0.3987502304030856
75% Corpus,10,asymmetric,0.9099999999999999,0.40363097818248556
75% Corpus,10,asymmetric,symmetric,0.4657561796842244
100% Corpus,2,0.01,0.01,0.21547698590168443
100% Corpus,2,0.01,0.31,0.24260024988996226
100% Corpus,2,0.01,0.61,0.24355610065575392
100% Corpus,2,0.01,0.9099999999999999,0.2175597987462834
